================================================================================
EXTRACTION COMPLÈTE DU FICHIER: belge.vnd
================================================================================

INFORMATIONS DU FICHIER:
--------------------------------------------------------------------------------
Nom:              belge.vnd
@00005EE3: fromage = 2 then inc_var non 1
@00005F0D: bonnet = 2 then inc_var non 1
@00005F36: huile = 2 then inc_var non 1
@00005F5E: orge = 2 then inc_var non 1
@00005F85: burette = 2 then inc_var non 1
@00005FAF: allumette = 2 then inc_var non 1
@00005FDB: chouetteor = 2 then inc_var non 1
@00006008: chouette = 2 then inc_var non 1
@00006033: sirop = 2 then inc_var non 1
@0000605B: fiolegrece = 2 then inc_var non 1
@00006088: fiolegrece2 = 2 then inc_var non 1
@000060B6: fioleecosse = 2 then inc_var non 1
@000060E4: fioleirlande = 2 then inc_var non 1
@00006113: fioleespagne = 2 then inc_var non 1
@00006142: fiolesuede = 2 then inc_var non 1
@0000616F: fiolefinlande = 2 then inc_var non 1
@0000619F: fioleautriche = 2 then inc_var non 1
@000061CF: fiolepaysbas = 2 then inc_var non 1
@000061FE: fioleespagne2 = 2 then inc_var non 1
@0000622E: fioleitalie = 2 then inc_var non 1
@0000625C: fioleangleterre = 2 then inc_var non 1
@0000628E: non = 0 then playavi p_hist1.avi 1 71 50 159 137
@000062CA: non = 1 then playavi p_hist2.avi 1 71 50 159 137
@00006306: non = 0 then scene 9l
@00006353: 18 0 #000000 Comic sans MS
@00006379: 480 200 125 365 0 Des informations
@000063A7: 480 220 125 365 0 sur le
@000063CB: 480 240 125 365 0 Manneken-pisj
@00006429: a_beg.wav
@00006442: sport.bmp
@0000649B: rol\sorties.bmp 0 178 339
@000064CD: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54h
@0000653C: 18 0 #000000 Comic sans MS
@00006562: raquette = 0 then playtext 440 130 125 365 0 Une raquette de tennis
@000065B1: raquette != 0 then addbmp  tennis rol\raquette.bmp 0 494 220
@000065F9: raquette = 0 then set_var raquette 1
@00006629: raquette != 0 then addbmp  tennis rol\raquette.bmp 0 494 220d
@000066D5: non 0
@000066E6: clerouge = 2 then inc_var non 1
@00006711: ballon1 = 2 then inc_var non 1
@0000673B: bouee = 2 then inc_var non 1
@00006763: bout_plo = 2 then inc_var non 1
@0000678E: bus = 2 then inc_var non 1
@000067B4: castagnette = 2 then inc_var non 1
@000067E2: ciseau = 2 then inc_var non 1
@0000680B: clejaune = 2 then inc_var non 1
@00006836: guitare = 2 then inc_var non 1
@00006860: harpon = 2 then inc_var non 1
@00006889: helice = 2 then inc_var non 1
@000068B2: loupe = 2 then inc_var non 1
@000068DA: masque = 2 then inc_var non 1
@00006903: masse = 2 then inc_var non 1
@0000692B: pain = 2 then inc_var non 1
@00006952: palme = 2 then inc_var non 1
@0000697A: photo = 2 then inc_var non 1
@000069A2: piece = 2 then inc_var non 1
@000069CA: pier_berlin = 2 then inc_var non 1
@000069F8: raquette = 2 then inc_var non 1
@00006A23: ressort  = 2 then inc_var non 1
@00006A4E: cheval  = 2 then inc_var non 1
@00006A78: riz = 2 then inc_var non 1
@00006A9E: ruban = 2 then inc_var non 1
@00006AC6: sabot1 = 2 then inc_var non 1
@00006AEF: sabot2 = 2 then inc_var non 1
@00006B18: scotch = 2 then inc_var non 1
@00006B41: taillepierre = 2 then inc_var non 1
@00006B70: ap_photo = 2 then inc_var non 1
@00006B9B: houblon = 2 then inc_var non 1
@00006BC5: chewing = 2 then inc_var non 1
@00006BEF: cleverte = 2 then inc_var non 1
@00006C1A: partition = 2 then inc_var non 1
@00006C46: laine = 2 then inc_var non 1
@00006C6E: tondeuse = 2 then inc_var non 1
@00006C99: tournevis = 2 then inc_var non 1
@00006CC5: cire = 2 then inc_var non 1
@00006CEC: chianti = 2 then inc_var non 1
@00006D16: rouedent = 2 then inc_var non 1
@00006D41: pierreor = 2 then inc_var non 1
@00006D6C: papiercado = 2 then inc_var non 1
@00006D99: hotte = 2 then inc_var non 1
@00006DC1: levure = 2 then inc_var non 1
@00006DEA: bouteille = 2 then inc_var non 1
@00006E16: parfum = 2 then inc_var non 1
@00006E3F: rouge = 2 then inc_var non 1
@00006E67: bisous = 2 then inc_var non 1
@00006E90: api  = 2 then inc_var non 1
@00006EB7: pince = 2 then inc_var non 1
@00006EDF: tulipejaune = 2 then inc_var non 1
@00006F0D: tulipeorange = 2 then inc_var non 1
@00006F3C: tuliperouge = 2 then inc_var non 1
@00006F6A: tulipeverte  = 2 then inc_var non 1
@00006F99: tulipeviolet = 2 then inc_var non 1
@00006FC8: farine = 2 then inc_var non 1
@00006FF1: saliere = 2 then inc_var non 1
@0000701B: bougie = 2 then inc_var non 1
@00007044: seche = 2 then inc_var non 1
@0000706C: bout_eau = 2 then inc_var non 1
@00007097: dorade = 2 then inc_var non 1
@000070C0: moule = 2 then inc_var non 1
@000070E8: ail = 2 then inc_var non 1
@0000710E: poivrouge = 2 then inc_var non 1
@0000713A: poivjaune = 2 then inc_var non 1
@00007166: oignon  = 2 then inc_var non 1
@00007190: olive = 2 then inc_var non 1
@000071B8: bouillon = 2 then inc_var non 1
@000071E3: violon = 2 then inc_var non 1
@0000720C: skate = 2 then inc_var non 1
@00007234: champagne = 2 then inc_var non 1
@00007260: fromage = 2 then inc_var non 1
@0000728A: bonnet = 2 then inc_var non 1
@000072B3: huile = 2 then inc_var non 1
@000072DB: orge = 2 then inc_var non 1
@00007302: burette = 2 then inc_var non 1
@0000732C: allumette = 2 then inc_var non 1
@00007358: chouetteor = 2 then inc_var non 1
@00007385: chouette = 2 then inc_var non 1
@000073B0: sirop = 2 then inc_var non 1
@000073D8: fiolegrece = 2 then inc_var non 1
@00007405: fiolegrece2 = 2 then inc_var non 1
@00007433: fioleecosse = 2 then inc_var non 1
@00007461: fioleirlande = 2 then inc_var non 1
@00007490: fioleespagne = 2 then inc_var non 1
@000074BF: fiolesuede = 2 then inc_var non 1
@000074EC: fiolefinlande = 2 then inc_var non 1
@0000751C: fioleautriche = 2 then inc_var non 1
@0000754C: fiolepaysbas = 2 then inc_var non 1
@0000757B: fioleespagne2 = 2 then inc_var non 1
@000075AB: fioleitalie = 2 then inc_var non 1
@000075D9: fioleangleterre = 2 then inc_var non 1
@0000760B: non = 0 then playavi gym1.avi 1 76 169 142 270
@00007645: non = 1 then playavi gym99.avi 1 76 169 142 270
@00007680: a_beg.wav 6
@00007697: 18 0 #000000 Comic sans MS
@000076BD: 70 100 125 365 0 Ton prof d'
@000076DA: ducation physique
@000076F7: 70 120 125 365 0 en plein effortl
@00007743: 18 0 #ffffff Comic sans MS
@00007769: bonus6 = 0 then playtext 80 370 125 365 0 Question bonus
@000077AD: bonus6 = 2 then playtext 80 370 125 365 0 tu as d
@000077E4: pondu
@000077F5: bonus6 = 0 then playwav ..\..\couleurs1\digit\bruit\boing.wav 1
@00007840: bonus6 = 0 then set_var bonus6 1
@0000786C: bonus6 = 1 then scene 27k
@000078D4: math.bmp
@0000792C: rol\sortiem2.bmp 0 425 344
@0000795F: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54h
@000079CC: 18 0 #000000 Comic sans MS
@000079F2: 480 140 125 365 0 Des informations
@00007A20: 480 160 125 365 0 sur l'Atomiumj
@00007A7B: dico 1
@00007A8D: dico = 1 then runprj ..\biblio\biblio.vnp 13
@00007AC5: 18 0 #000000 Comic sans MS
@00007AEB: 480 140 125 365 0 La table des
@00007B15: 480 160 125 365 0 monnaies
@00007B3B: 300
@00007B4A: dico 0j
@00007B7C: non 0
@00007B8D: clerouge = 2 then inc_var non 1
@00007BB8: ballon1 = 2 then inc_var non 1
@00007BE2: bouee = 2 then inc_var non 1
@00007C0A: bout_plo = 2 then inc_var non 1
@00007C35: bus = 2 then inc_var non 1
@00007C5B: castagnette = 2 then inc_var non 1
@00007C89: ciseau = 2 then inc_var non 1
@00007CB2: clejaune = 2 then inc_var non 1
@00007CDD: guitare = 2 then inc_var non 1
@00007D07: harpon = 2 then inc_var non 1
@00007D30: helice = 2 then inc_var non 1
@00007D59: loupe = 2 then inc_var non 1
@00007D81: masque = 2 then inc_var non 1
@00007DAA: masse = 2 then inc_var non 1
@00007DD2: pain = 2 then inc_var non 1
@00007DF9: palme = 2 then inc_var non 1
@00007E21: photo = 2 then inc_var non 1
@00007E49: piece = 2 then inc_var non 1
@00007E71: pier_berlin = 2 then inc_var non 1
@00007E9F: raquette = 2 then inc_var non 1
@00007ECA: ressort  = 2 then inc_var non 1
@00007EF5: cheval  = 2 then inc_var non 1
@00007F1F: riz = 2 then inc_var non 1
@00007F45: ruban = 2 then inc_var non 1
@00007F6D: sabot1 = 2 then inc_var non 1
@00007F96: sabot2 = 2 then inc_var non 1
@00007FBF: scotch = 2 then inc_var non 1
@00007FE8: taillepierre = 2 then inc_var non 1
@00008017: ap_photo = 2 then inc_var non 1
@00008042: houblon = 2 then inc_var non 1
@0000806C: chewing = 2 then inc_var non 1
@00008096: cleverte = 2 then inc_var non 1
@000080C1: partition = 2 then inc_var non 1
@000080ED: laine = 2 then inc_var non 1
@00008115: tondeuse = 2 then inc_var non 1
@00008140: tournevis = 2 then inc_var non 1
@0000816C: cire = 2 then inc_var non 1
@00008193: chianti = 2 then inc_var non 1
@000081BD: rouedent = 2 then inc_var non 1
@000081E8: pierreor = 2 then inc_var non 1
@00008213: papiercado = 2 then inc_var non 1
@00008240: hotte = 2 then inc_var non 1
@00008268: levure = 2 then inc_var non 1
@00008291: bouteille = 2 then inc_var non 1
@000082BD: parfum = 2 then inc_var non 1
@000082E6: rouge = 2 then inc_var non 1
@0000830E: bisous = 2 then inc_var non 1
@00008337: api  = 2 then inc_var non 1
@0000835E: pince = 2 then inc_var non 1
@00008386: tulipejaune = 2 then inc_var non 1
@000083B4: tulipeorange = 2 then inc_var non 1
@000083E3: tuliperouge = 2 then inc_var non 1
@00008411: tulipeverte  = 2 then inc_var non 1
@00008440: tulipeviolet = 2 then inc_var non 1
@0000846F: farine = 2 then inc_var non 1
@00008498: saliere = 2 then inc_var non 1
@000084C2: bougie = 2 then inc_var non 1
@000084EB: seche = 2 then inc_var non 1
@00008513: bout_eau = 2 then inc_var non 1
@0000853E: dorade = 2 then inc_var non 1
@00008567: moule = 2 then inc_var non 1
@0000858F: ail = 2 then inc_var non 1
@000085B5: poivrouge = 2 then inc_var non 1
@000085E1: poivjaune = 2 then inc_var non 1
@0000860D: oignon  = 2 then inc_var non 1
@00008637: olive = 2 then inc_var non 1
@0000865F: bouillon = 2 then inc_var non 1
@0000868A: violon = 2 then inc_var non 1
@000086B3: skate = 2 then inc_var non 1
@000086DB: champagne = 2 then inc_var non 1
@00008707: fromage = 2 then inc_var non 1
@00008731: bonnet = 2 then inc_var non 1
@0000875A: huile = 2 then inc_var non 1
@00008782: orge = 2 then inc_var non 1
@000087A9: burette = 2 then inc_var non 1
@000087D3: allumette = 2 then inc_var non 1
@000087FF: chouetteor = 2 then inc_var non 1
@0000882C: chouette = 2 then inc_var non 1
@00008857: sirop = 2 then inc_var non 1
@0000887F: fiolegrece = 2 then inc_var non 1
@000088AC: fiolegrece2 = 2 then inc_var non 1
@000088DA: fioleecosse = 2 then inc_var non 1
@00008908: fioleirlande = 2 then inc_var non 1
@00008937: fioleespagne = 2 then inc_var non 1
@00008966: fiolesuede = 2 then inc_var non 1
@00008993: fiolefinlande = 2 then inc_var non 1
@000089C3: fioleautriche = 2 then inc_var non 1
@000089F3: fiolepaysbas = 2 then inc_var non 1
@00008A22: fioleespagne2 = 2 then inc_var non 1
@00008A52: fioleitalie = 2 then inc_var non 1
@00008A80: fioleangleterre = 2 then inc_var non 1
@00008AB2: math = 1 then set_var non 2
@00008AD9: non = 0 then playavi math3.avi 1 123 190 230 245
@00008B15: non = 1 then playavi math99.avi 1 123 190 230 245
@00008B52: non = 0 then rundll probleme.dll
@00008B7E: 18 0 #000000 Comic sans MS
@00008BA4: 480 140 125 365 0 Ta prof de
@00008BCC: 480 160 125 365 0 math
@00008BE3: matiquesl
@00008C37: math1.avi 1 123 190 230 245j
@00008CB2: ..\..\ecosse\img24\papierbleu.bmp
@00008CDB: man&pis.htm
@00008D26: mak mak.bmp 0 453 128
@00008D47: 18 1 #000000 Comic sans MS
@00008D6D: 445 420 125 365 0 Quitter
@00008D92: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54i
@00008E3D: prof.bmp
@00008E95: question rol\question.bmp 0 32 57
@00008ECF: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54i
@00008F2E: 10i
@00008F5C: piece = 0 then scene 11i
@00008FCC: dico 1
@00008FDE: ..\biblio\biblio.vnp 27i
@00009045: ..\..\ecosse\img24\papierbleu.bmp
@0000906E: hmonnaie.htm
@000090BB: 18 1 #000000 Comic sans MS
@000090E1: 445 420 125 365 0 Quitter
@00009106: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54i
@000091A9: jeu_mo.bmp
@00009210: affichem 0
@00009226: reponsem 0
@0000923C: cou rol\mo_cou.bmp 0 16 157
@00009263: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54i
@000092C2: rol\mo_dan.bmp 0 318 12
@000092E5: affichem 1
@000092FB: reponsem = 0 then inc_var reponsem 1
@0000932B: affichem = 1 then addbmp gagne rol\gagne.bmp 0 7 251
@0000936B: affichem = 1 then playwav cling.wav 1
@0000939C: 500
@000093AB: gagne
@000093BC: affichem != 1 then addbmp perdu rol\perdu.bmp 0 7 251
@000093FD: affichem != 1 then playwav cartoon.wav 1
@00009431: 1500
@00009441: perdu
@00009452: affichem = 1 then delbmp cou
@0000947A: affichem = 1 then addbmp fra rol\mo_fra.bmp 0 14 156
@000094BA: affichem = 2 then addbmp fra rol\mo_dra.bmp 0 18 148
@000094FA: affichem = 3 then addbmp fra rol\mo_esc.bmp 0 14 153
@0000953A: affichem = 4 then addbmp fra rol\mo_pes.bmp 0 22 156
@0000957A: affichem = 5 then addbmp fra rol\mo_lire.bmp 0 21 159
@000095BB: affichem = 6 then addbmp fra rol\mo_mark.bmp 0 22 145
@000095FC: affichem = 7 then addbmp fra rol\mo_lir.bmp 0 32 160
@0000963C: reponsem = 8 then scene 12 else if affichem = 8 then scene 13i
@000096A5: rol\mo_ita.bmp 0 317 56
@000096C8: monnaie rol\monnaie.bmp 0 0 0
@000096F1: affichem 1
@00009707: reponsem = 5 then inc_var reponsem 1
@00009737: affichem = 6 then addbmp gagne rol\gagne.bmp 0 7 251
@00009777: affichem = 6 then playwav cling.wav 1
@000097A8: 1500
@000097B8: gagne
@000097C9: affichem != 6 then addbmp perdu rol\perdu.bmp 0 7 251
@0000980A: affichem != 6 then playwav cartoon.wav 1
@0000983E: 1500
@0000984E: perdu
@0000985F: affichem = 1 then delbmp cou
@00009887: affichem = 1 then addbmp fra rol\mo_fra.bmp 0 14 156
@000098C7: affichem = 2 then addbmp fra rol\mo_dra.bmp 0 18 148
@00009907: affichem = 3 then addbmp fra rol\mo_esc.bmp 0 14 153
@00009947: affichem = 4 then addbmp fra rol\mo_pes.bmp 0 22 156
@00009987: affichem = 5 then addbmp fra rol\mo_lire.bmp 0 21 159
@000099C8: affichem = 6 then addbmp fra rol\mo_mark.bmp 0 22 145
@00009A09: affichem = 7 then addbmp fra rol\mo_lir.bmp 0 32 160
@00009A49: reponsem = 8 then scene 12 else if affichem = 8 then scene 13i
@00009AB2: rol\mo_esp.bmp 0 325 113
@00009AD6: affichem 1
@00009AEC: reponsem = 4 then inc_var reponsem 1
@00009B1C: affichem = 5 then addbmp gagne rol\gagne.bmp 0 7 251
@00009B5C: affichem = 5 then playwav cling.wav 1
@00009B8D: 500
@00009B9C: gagne
@00009BAD: affichem != 5 then addbmp perdu rol\perdu.bmp 0 7 251
@00009BEE: affichem != 5 then playwav cartoon.wav 1
@00009C22: 1500
@00009C32: perdu
@00009C43: affichem = 1 then delbmp cou
@00009C6B: affichem = 1 then addbmp fra rol\mo_fra.bmp 0 14 156
@00009CAB: affichem = 2 then addbmp fra rol\mo_dra.bmp 0 18 148
@00009CEB: affichem = 3 then addbmp fra rol\mo_esc.bmp 0 14 153
@00009D2B: affichem = 4 then addbmp fra rol\mo_pes.bmp 0 22 156
@00009D6B: affichem = 5 then addbmp fra rol\mo_lire.bmp 0 21 159
@00009DAC: affichem = 6 then addbmp fra rol\mo_mark.bmp 0 22 145
@00009DED: affichem = 7 then addbmp fra rol\mo_lir.bmp 0 32 160
@00009E2D: reponsem = 8 then scene 12 else if affichem = 8 then scene 13i
@00009E96: rol\mo_gb.bmp 0 327 149
@00009EB9: affichem 1
@00009ECF: reponsem = 7 then inc_var reponsem 1
@00009EFF: affichem = 8 then addbmp gagne rol\gagne.bmp 0 7 251
@00009F3F: affichem = 8 then playwav cling.wav 1
@00009F70: 500
@00009F7F: gagne
@00009F90: affichem != 8 then addbmp perdu rol\perdu.bmp 0 7 251
@00009FD1: affichem != 8 then playwav cartoon.wav 1
@0000A005: 1500
@0000A015: perdu
@0000A026: affichem = 1 then delbmp cou
@0000A04E: affichem = 1 then addbmp fra rol\mo_fra.bmp 0 14 156
@0000A08E: affichem = 2 then addbmp fra rol\mo_dra.bmp 0 18 148
@0000A0CE: affichem = 3 then addbmp fra rol\mo_esc.bmp 0 14 153
@0000A10E: affichem = 4 then addbmp fra rol\mo_pes.bmp 0 22 156
@0000A14E: affichem = 5 then addbmp fra rol\mo_lire.bmp 0 21 159
@0000A18F: affichem = 6 then addbmp fra rol\mo_mark.bmp 0 22 145
@0000A1D0: affichem = 7 then addbmp fra rol\mo_lir.bmp 0 32 160
@0000A210: reponsem = 8 then scene 12 else if affichem = 8 then scene 13i
@0000A279: rol\mo_por.bmp 0 329 196
@0000A29D: affichem 1
@0000A2B3: reponsem = 3 then inc_var reponsem 1
@0000A2E3: affichem = 4 then addbmp gagne rol\gagne.bmp 0 7 251
@0000A323: affichem = 4 then playwav cling.wav 1
@0000A354: 500
@0000A363: gagne
@0000A374: affichem != 4 then addbmp perdu rol\perdu.bmp 0 7 251
@0000A3B5: affichem != 4 then playwav cartoon.wav 1
@0000A3E9: 1500
@0000A3F9: perdu
@0000A40A: affichem = 1 then delbmp cou
@0000A432: affichem = 1 then addbmp fra rol\mo_fra.bmp 0 14 156
@0000A472: affichem = 2 then addbmp fra rol\mo_dra.bmp 0 18 148
@0000A4B2: affichem = 3 then addbmp fra rol\mo_esc.bmp 0 14 153
@0000A4F2: affichem = 4 then addbmp fra rol\mo_pes.bmp 0 22 156
@0000A532: affichem = 5 then addbmp fra rol\mo_lire.bmp 0 21 159
@0000A573: affichem = 6 then addbmp fra rol\mo_mark.bmp 0 22 145
@0000A5B4: affichem = 7 then addbmp fra rol\mo_lir.bmp 0 32 160
@0000A5F4: reponsem = 8 then scene 12 else if affichem = 8 then scene 13i
@0000A65D: rol\mo_bel.bmp 0 332 240
@0000A681: affichem 1
@0000A697: reponsem = 1 then inc_var reponsem 1
@0000A6C7: affichem = 2 then addbmp gagne rol\gagne.bmp 0 7 251
@0000A707: affichem = 2 then playwav cling.wav 1
@0000A738: 500
@0000A747: gagne
@0000A758: affichem != 2 then addbmp perdu rol\perdu.bmp 0 7 251
@0000A799: affichem != 2 then playwav cartoon.wav 1
@0000A7CD: 1500
@0000A7DD: perdu
@0000A7EE: affichem = 1 then delbmp cou
@0000A816: affichem = 1 then addbmp fra rol\mo_fra.bmp 0 14 156
@0000A856: affichem = 2 then addbmp fra rol\mo_dra.bmp 0 18 148
@0000A896: affichem = 3 then addbmp fra rol\mo_esc.bmp 0 14 153
@0000A8D6: affichem = 4 then addbmp fra rol\mo_pes.bmp 0 22 156
@0000A916: affichem = 5 then addbmp fra rol\mo_lire.bmp 0 21 159
@0000A957: affichem = 6 then addbmp fra rol\mo_mark.bmp 0 22 145
@0000A998: affichem = 7 then addbmp fra rol\mo_lir.bmp 0 32 160
@0000A9D8: reponsem = 8 then scene 12 else if affichem = 8 then scene 13i
@0000AA41: rol\mo_all.bmp 0 330 283
@0000AA65: affichem 1
@0000AA7B: reponsem = 6 then inc_var reponsem 1
@0000AAAB: affichem = 7 then addbmp gagne rol\gagne.bmp 0 7 251
@0000AAEB: affichem = 7 then playwav cling.wav 1
@0000AB1C: 500
@0000AB2B: gagne
@0000AB3C: affichem != 7 then addbmp perdu rol\perdu.bmp 0 7 251
@0000AB7D: affichem != 7 then playwav cartoon.wav 1
@0000ABB1: 1500
@0000ABC1: perdu
@0000ABD2: affichem = 1 then delbmp cou
@0000ABFA: affichem = 1 then addbmp fra rol\mo_fra.bmp 0 14 156
@0000AC3A: affichem = 2 then addbmp fra rol\mo_dra.bmp 0 18 148
@0000AC7A: affichem = 3 then addbmp fra rol\mo_esc.bmp 0 14 153
@0000ACBA: affichem = 4 then addbmp fra rol\mo_pes.bmp 0 22 156
@0000ACFA: affichem = 5 then addbmp fra rol\mo_lire.bmp 0 21 159
@0000AD3B: affichem = 6 then addbmp fra rol\mo_mark.bmp 0 22 145
@0000AD7C: affichem = 7 then addbmp fra rol\mo_lir.bmp 0 32 160
@0000ADBC: reponsem = 8 then scene 12 else if affichem = 8 then scene 13i
@0000AE25: rol\mo_gre.bmp 0 322 336
@0000AE49: affichem 1
@0000AE5F: reponsem = 2 then inc_var reponsem 1
@0000AE8F: affichem = 3 then addbmp gagne rol\gagne.bmp 0 7 251
@0000AECF: affichem = 3 then playwav cling.wav 1
@0000AF00: 500
@0000AF0F: gagne
@0000AF20: affichem != 3 then addbmp perdu rol\perdu.bmp 0 7 251
@0000AF61: affichem != 3 then playwav cartoon.wav 1
@0000AF95: 1500
@0000AFA5: perdu
@0000AFB6: affichem = 1 then delbmp cou
@0000AFDE: affichem = 1 then addbmp fra rol\mo_fra.bmp 0 14 156
@0000B01E: affichem = 2 then addbmp fra rol\mo_dra.bmp 0 18 148
@0000B05E: affichem = 3 then addbmp fra rol\mo_esc.bmp 0 14 153
@0000B09E: affichem = 4 then addbmp fra rol\mo_pes.bmp 0 22 156
@0000B0DE: affichem = 5 then addbmp fra rol\mo_lire.bmp 0 21 159
@0000B11F: affichem = 6 then addbmp fra rol\mo_mark.bmp 0 22 145
@0000B160: affichem = 7 then addbmp fra rol\mo_lir.bmp 0 32 160
@0000B1A0: reponsem = 8 then scene 12 else if affichem = 8 then scene 13i
@0000B22D: prof.bmp
@0000B285: piece >= 1 then scene 5
@0000B2A8: piece rol\main2.bmp 0 0 308
@0000B2CF: piece rol\main.bmp 0 0 308
@0000B2F5: cling.wav 1
@0000B30C: piece 1
@0000B31F: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54i
@0000B38B: piece = 1 then addbmp piece rol\main.bmp 0 0 308j
@0000B3E7: piece < 1 then playavi p_hist3.avi 1 71 50 159 137
@0000B425: non 0
@0000B436: clerouge = 2 then inc_var non 1
@0000B461: ballon1 = 2 then inc_var non 1
@0000B48B: bouee = 2 then inc_var non 1
@0000B4B3: bout_plo = 2 then inc_var non 1
@0000B4DE: bus = 2 then inc_var non 1
@0000B504: castagnette = 2 then inc_var non 1
@0000B532: ciseau = 2 then inc_var non 1
@0000B55B: clejaune = 2 then inc_var non 1
@0000B586: guitare = 2 then inc_var non 1
@0000B5B0: harpon = 2 then inc_var non 1
@0000B5D9: helice = 2 then inc_var non 1
@0000B602: loupe = 2 then inc_var non 1
@0000B62A: masque = 2 then inc_var non 1
@0000B653: masse = 2 then inc_var non 1
@0000B67B: pain = 2 then inc_var non 1
@0000B6A2: palme = 2 then inc_var non 1
@0000B6CA: photo = 2 then inc_var non 1
@0000B6F2: piece = 2 then inc_var non 1
@0000B71A: pier_berlin = 2 then inc_var non 1
@0000B748: raquette = 2 then inc_var non 1
@0000B773: ressort  = 2 then inc_var non 1
@0000B79E: cheval  = 2 then inc_var non 1
@0000B7C8: riz = 2 then inc_var non 1
@0000B7EE: ruban = 2 then inc_var non 1
@0000B816: sabot1 = 2 then inc_var non 1
@0000B83F: sabot2 = 2 then inc_var non 1
@0000B868: scotch = 2 then inc_var non 1
@0000B891: taillepierre = 2 then inc_var non 1
@0000B8C0: ap_photo = 2 then inc_var non 1
@0000B8EB: houblon = 2 then inc_var non 1
@0000B915: chewing = 2 then inc_var non 1
@0000B93F: cleverte = 2 then inc_var non 1
@0000B96A: partition = 2 then inc_var non 1
@0000B996: laine = 2 then inc_var non 1
@0000B9BE: tondeuse = 2 then inc_var non 1
@0000B9E9: tournevis = 2 then inc_var non 1
@0000BA15: cire = 2 then inc_var non 1
@0000BA3C: chianti = 2 then inc_var non 1
@0000BA66: rouedent = 2 then inc_var non 1
@0000BA91: pierreor = 2 then inc_var non 1
@0000BABC: papiercado = 2 then inc_var non 1
@0000BAE9: hotte = 2 then inc_var non 1
@0000BB11: levure = 2 then inc_var non 1
@0000BB3A: bouteille = 2 then inc_var non 1
@0000BB66: parfum = 2 then inc_var non 1
@0000BB8F: rouge = 2 then inc_var non 1
@0000BBB7: bisous = 2 then inc_var non 1
@0000BBE0: api  = 2 then inc_var non 1
@0000BC07: pince = 2 then inc_var non 1
@0000BC2F: tulipejaune = 2 then inc_var non 1
@0000BC5D: tulipeorange = 2 then inc_var non 1
@0000BC8C: tuliperouge = 2 then inc_var non 1
@0000BCBA: tulipeverte  = 2 then inc_var non 1
@0000BCE9: tulipeviolet = 2 then inc_var non 1
@0000BD18: farine = 2 then inc_var non 1
@0000BD41: saliere = 2 then inc_var non 1
@0000BD6B: bougie = 2 then inc_var non 1
@0000BD94: seche = 2 then inc_var non 1
@0000BDBC: bout_eau = 2 then inc_var non 1
@0000BDE7: dorade = 2 then inc_var non 1
@0000BE10: moule = 2 then inc_var non 1
@0000BE38: ail = 2 then inc_var non 1
@0000BE5E: poivrouge = 2 then inc_var non 1
@0000BE8A: poivjaune = 2 then inc_var non 1
@0000BEB6: oignon  = 2 then inc_var non 1
@0000BEE0: olive = 2 then inc_var non 1
@0000BF08: bouillon = 2 then inc_var non 1
@0000BF33: violon = 2 then inc_var non 1
@0000BF5C: skate = 2 then inc_var non 1
@0000BF84: champagne = 2 then inc_var non 1
@0000BFB0: fromage = 2 then inc_var non 1
@0000BFDA: bonnet = 2 then inc_var non 1
@0000C003: huile = 2 then inc_var non 1
@0000C02B: orge = 2 then inc_var non 1
@0000C052: burette = 2 then inc_var non 1
@0000C07C: allumette = 2 then inc_var non 1
@0000C0A8: chouetteor = 2 then inc_var non 1
@0000C0D5: chouette = 2 then inc_var non 1
@0000C100: sirop = 2 then inc_var non 1
@0000C128: fiolegrece = 2 then inc_var non 1
@0000C155: fiolegrece2 = 2 then inc_var non 1
@0000C183: fioleecosse = 2 then inc_var non 1
@0000C1B1: fioleirlande = 2 then inc_var non 1
@0000C1E0: fioleespagne = 2 then inc_var non 1
@0000C20F: fiolesuede = 2 then inc_var non 1
@0000C23C: fiolefinlande = 2 then inc_var non 1
@0000C26C: fioleautriche = 2 then inc_var non 1
@0000C29C: fiolepaysbas = 2 then inc_var non 1
@0000C2CB: fioleespagne2 = 2 then inc_var non 1
@0000C2FB: fioleitalie = 2 then inc_var non 1
@0000C329: fioleangleterre = 2 then inc_var non 1
@0000C35B: piece < 1 then set_var non 2
@0000C383: non = 2 then playavi p_hist3.avi 1 71 50 159 137
@0000C3BF: non = 1 then playavi p_hist2.avi 1 71 50 159 137l
@0000C41B: rol\sortieh.bmp 0 200 336
@0000C491: prof.bmp
@0000C4F7: 2000
@0000C507: question rol\mouinon.bmp 0 175 23
@0000C534: p_hist4.avi 1 71 50 159 137
@0000C55B: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54i
@0000C638: ..\..\ecosse\img24\papierbleu.bmp
@0000C661: atomium.htm
@0000C6AC: bel rol\atonium.bmp 0 430 100
@0000C6D5: 18 1 #000000 Comic sans MS
@0000C6FB: 445 420 125 365 0 Quitter
@0000C720: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54i
@0000C7CB: rue2.bmp
